
Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe           17052 Console                   20      9,280 K
msedgewebview2.exe           16888 Console                   20     11,000 K
msedgewebview2.exe           27460 Console                   20      8,248 K
msedgewebview2.exe            4404 Console                   20      2,276 K
msedgewebview2.exe           24356 Console                   20      5,500 K
RtkAudUService64.exe          7916 Console                   20     15,924 K
msedge.exe                   21976 Console                   20    141,004 K
msedge.exe                   23264 Console                   20     11,680 K
msedge.exe                   21048 Console                   20     54,484 K
msedge.exe                   11708 Console                   20     41,436 K
msedge.exe                   17216 Console                   20     22,720 K
msedge.exe                   21568 Console                   20    106,412 K
msedge.exe                   27440 Console                   20     29,752 K
msedgewebview2.exe            8500 Console                   20      2,968 K
OneDrive.exe                  1044 Console                   20    141,888 K
Viber.exe                    20580 Console                   20    404,212 K
CrossDeviceService.exe       26452 Console                   20     76,112 K
RuntimeBroker.exe            18908 Console                   20     14,208 K
AnyDesk.exe                  18996 Console                   20     42,060 K
QHSafeTray.exe               11952 Console                   20     71,140 K
NhNotifSys.exe               17320 Console                   20     29,020 K
svchost.exe                   8816 Console                   20     15,464 K
svchost.exe                  20228 Console                   20     17,404 K
svchost.exe                   1060 Console                   20     14,824 K
ApplicationFrameHost.exe     14964 Console                   20     42,372 K
Code.exe                     21408 Console                   20    129,976 K
Code.exe                      7568 Console                   20     34,236 K
Code.exe                      6800 Console                   20    112,344 K
Code.exe                     21880 Console                   20     49,132 K
Code.exe                      2412 Console                   20    256,916 K
Code.exe                     26644 Console                   20    109,172 K
Code.exe                     14552 Console                   20    105,448 K
Code.exe                     11444 Console                   20     98,812 K
Code.exe                     17256 Console                   20    135,028 K
conhost.exe                   6648 Console                   20      7,772 K
powershell.exe               12920 Console                   20     68,204 K
conhost.exe                  26680 Console                   20      7,808 K
powershell.exe                9324 Console                   20     68,544 K
ShellHost.exe                19960 Console                   20     56,632 K
svchost.exe                  21652 Services                   0      9,028 K
audiodg.exe                  24660 Services                   0     21,504 K
python.exe                   23892 Console                   20     12,784 K
tasklist.exe                 21236 Console                   20     10,556 K
WmiPrvSE.exe                 18036 Services                   0     12,616 K
